,gpt-4-turbo-2024-04-09,SenseChat-5,glm-4,meta-llama/Llama-3-70b-chat-hf,minimax-abab6.5-chat,Qwen/Qwen1.5-72B-Chat,claude-3-haiku-20240307,zero-one-ai/Yi-34B-Chat,deepseek-ai/deepseek-llm-67b-chat,wenxin-4
0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
1,982.5699648562238,1017.4300351437762,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,982.5699630739858,1017.4300369260142,1101.3152475138204,898.6847524861795,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
3,982.5699630739858,1017.4300369260142,1101.3152475138204,898.6847524861795,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
4,982.5699666834743,1017.4300333165257,1101.3152499859632,898.6847500140368,1000.0,1000.0,1078.8294039939622,921.170596006038,1000.0,1000.0
5,982.569965605791,1017.430034394209,1101.3152464960638,898.6847535039362,1000.0,1000.0,1078.8294031387898,921.1705968612102,910.2734558050812,1089.7265441949187
0,982.569965605791,1017.430034394209,1101.3152464960638,898.6847535039362,1000.0,1000.0,1078.8294031387898,921.1705968612102,910.2734558050812,1089.7265441949187
1,982.5699612190392,1017.4300387809608,1169.116250233265,966.4857654669421,1000.0,1000.0,1078.8294026608164,921.1705973391836,842.4724506939548,1021.9255336058386
2,1067.0387137164003,1101.8987811474792,1169.1162534297885,966.4857553520942,1000.0,1000.0,994.360656805432,836.7018483306888,842.4724498908967,1021.9255413272207
3,1087.0151924055135,1121.8752673526124,1169.1162471915252,966.4857576987197,960.0470394568764,960.0470254488918,1014.3371391145592,856.6783362215469,842.4724553818216,1021.9255397279335
4,1088.125597049585,1120.8714733172258,1169.1162493252614,966.4857544207501,963.5384181511752,965.6327488194827,1011.0273021235522,850.8044605389794,842.4724569519972,1021.9255393019912
5,1088.1255953095058,1120.8714754099485,1158.4231194384436,926.7259220160007,963.5384161710161,965.6327459778888,1011.0273042553694,850.8044628762711,880.2689547638998,1034.5820037816552
0,1088.1255953095058,1120.8714754099485,1158.4231194384436,926.7259220160007,963.5384161710161,965.6327459778888,1011.0273042553694,850.8044628762711,880.2689547638998,1034.5820037816552
1,1166.209786922954,1198.9556552561248,1041.2968484916867,809.5996392342081,1041.6226019065305,1043.716934034438,1089.1114717458777,928.888618654028,763.1426930845693,917.4557506695833
2,1101.220981899178,1179.6253193182833,1082.108221795871,867.956775704951,985.8234771800799,996.0956365884741,1060.687302106099,890.2947402296028,833.5876891329633,1002.5998560444976
3,1104.3473786617224,1158.4659866744212,1069.6951490373256,858.1106118523702,1023.1273403403359,1065.1615144041039,1002.7542482146886,895.9362686645511,825.559956014368,996.8415461361138
4,1097.7367590047575,1156.8777854093971,1082.6429261790963,894.2675175165767,995.2330724351334,1046.2995550597725,990.2439784090197,880.4537391095996,849.7866144310792,1006.4580524455677
5,1092.938097924007,1158.1170555340914,1072.8589829698558,878.1974116939971,995.1902050200813,1065.77551574024,1011.3449434887739,920.9795531612228,813.9847378382715,990.6134966294592
0,1092.938097924007,1158.1170555340914,1072.8589829698558,878.1974116939971,995.1902050200813,1065.77551574024,1011.3449434887739,920.9795531612228,813.9847378382715,990.6134966294592
1,1086.2487597416418,1138.7866338067736,1063.9863864770803,877.7897532686186,1000.1135140746477,1087.096979920368,1015.678761784305,929.5568590089683,815.2421505233708,985.5002013942261
2,1100.2665115145737,1139.256146456709,1049.2535891195475,874.2574964645746,1004.2097100267245,1088.470157811242,1016.3492903001592,929.7003960648417,813.7125276025947,984.5241746390334
3,1097.9388852181658,1141.164363308254,1048.0213244972886,870.7715295516634,995.2242338807146,1090.2055266624068,1026.4210503322297,933.6849988175863,813.3780600024553,983.1900277292357
4,1107.4430511097582,1141.4895497349073,1058.9692582863113,872.8781183863904,992.9119165347396,1080.5921742833248,1016.2327329523279,904.1717553553444,812.5100224069761,1012.8014209499198
5,1107.4430511097582,1141.4895497349073,1058.9692582863113,872.8781183863904,992.9119165347396,1080.5921742833248,1016.2327329523279,904.1717553553444,812.5100224069761,1012.8014209499198
6,1107.4430511097582,1141.4895497349073,1058.9692582863113,872.8781183863904,992.9119165347396,1080.5921742833248,1016.2327329523279,904.1717553553444,812.5100224069761,1012.8014209499198
